Price,Area,Baths,Beds,Latitude,Longitude,Month,Year,country,suburb,road,municipality,state,postcode,Price/meter,Coeficient,Average
1057540.0,152.08227648000005,2,3,38.91469025,-77.03750859,3,2016,United States,Dupont Circle,Swann Street Northwest,Not found,District of Columbia,20009,6953.7359939445305,0.7169317628954393,9699.299645841882
506920.0,150.68873088,1,3,38.91468982,-77.03744771,6,2003,United States,Dupont Circle,Swann Street Northwest,Not found,District of Columbia,20009,3364.0206340557907,0.3468312926591515,9699.299645841882
777860.0,96.24754944,3,3,38.91594666,-77.03686699,9,2007,United States,Dupont Circle,16th Street Northwest,Not found,District of Columbia,20012,8081.868104963151,0.8332424401825622,9699.299645841882
978880.0,94.2965856,2,3,38.91589991,-77.03686708,4,2017,United States,Dupont Circle,16th Street Northwest,Not found,District of Columbia,20012,10380.863673604741,1.0702694063127587,9699.299645841882
728916.0,90.1159488,2,3,38.91585325,-77.03686556,7,2008,United States,Dupont Circle,16th Street Northwest,Not found,District of Columbia,20012,8088.645902377715,0.8339412326378989,9699.299645841882
790970.0,92.53142784,2,3,38.91580767,-77.03686599,6,2008,United States,Dupont Circle,16th Street Northwest,Not found,District of Columbia,20012,8548.122713157518,0.8813133963566249,9699.299645841882
222870.0,94.20368256,1,2,38.91596395,-77.03718859,8,1994,United States,Dupont Circle,New Hampshire Avenue Northwest,Not found,District of Columbia,20009,2365.8310794596605,0.24391772250008784,9699.299645841882
799710.0,83.61273600000001,1,2,38.91584716,-77.03730095,4,2017,United States,Dupont Circle,New Hampshire Avenue Northwest,Not found,District of Columbia,20009,9564.451999274368,0.9860971769621197,9699.299645841882
252586.0,67.91212224,3,4,38.91199679,-77.04551208,7,1997,United States,Dupont Circle,Hillyer Place Northwest,Not found,District of Columbia,20009,3719.3065342203035,0.3834613497908358,9699.299645841882
314640.0,114.2707392,3,3,38.91199532,-77.04558968,3,1992,United States,Dupont Circle,Hillyer Place Northwest,Not found,District of Columbia,20009,2753.460791474429,0.28388243399149393,9699.299645841882
297160.0,66.70438272,1,2,38.90053837,-77.05234727,3,2007,United States,Foggy Bottom,I Street Northwest,Not found,District of Columbia,20037,4454.879692798692,0.5159941318152844,8633.58596177495
546250.0,74.22952896000002,2,3,38.89994664,-77.05288739,10,2003,United States,Foggy Bottom,New Hampshire Avenue Northwest,Not found,District of Columbia,20037,7358.931245466438,0.8523609167787263,8633.58596177495
236854.0,66.33277056,1,3,38.89991519,-77.05291435,2,1999,United States,Foggy Bottom,New Hampshire Avenue Northwest,Not found,District of Columbia,20037,3570.6936104192782,0.413581752267072,8633.58596177495
327750.0,42.82830144,1,2,38.8998094,-77.05298632,5,2002,United States,Foggy Bottom,New Hampshire Avenue Northwest,Not found,District of Columbia,20037,7652.649976305014,0.8863813958865977,8633.58596177495
943920.0,56.57795136000001,2,2,38.89973925,-77.05313037,4,2018,United States,Foggy Bottom,25th Street Northwest,Not found,District of Columbia,20037,16683.530904007617,1.932398771249126,8633.58596177495
480700.0,37.90444032,1,2,38.89983295,-77.05309666,8,2005,United States,Foggy Bottom,25th Street Northwest,Not found,District of Columbia,20037,12681.891513020499,1.4689019799153389,8633.58596177495
432630.0,46.358616960000006,1,2,38.89990087,-77.05310294,9,2008,United States,Foggy Bottom,25th Street Northwest,Not found,District of Columbia,20037,9332.24561839905,1.0809234609717682,8633.58596177495
546250.0,54.71989056,2,2,38.89997367,-77.05308051,10,2005,United States,Foggy Bottom,25th Street Northwest,Not found,District of Columbia,20037,9982.658854206597,1.1562586969545035,8633.58596177495
423890.0,58.714721280000006,1,2,38.90001087,-77.05308377,12,2003,United States,Foggy Bottom,25th Street Northwest,Not found,District of Columbia,20037,7219.484155916271,0.8362092168747043,8633.58596177495
