Unnamed: 0,Price,Area,Baths,Beds,Latitude,Longitude,Month,Year,country,suburb,road,municipality,state,postcode
4443,131100.0,120.0,2.0,3.0,-34.8695872411,-55.0662785737,3,2020,Uruguay,Not found,Lago de la Juventud,Not found,Maldonado,20003.0
4444,67298.0,100.0,1.0,1.0,-34.872871,-56.178348,3,2020,Uruguay,La Figurita,Doctor José María Penco,Not found,Montevideo,11800.0
4445,227240.0,64.0,2.0,2.0,-34.916798,-56.152754,3,2020,Uruguay,Pocitos,Tomás Diago,Not found,Montevideo,11300.0
4446,253460.0,95.0,3.0,3.0,-34.908629,-56.141715,3,2020,Uruguay,La Mondiola,Echevarriarza,Not found,Montevideo,11300.0
4447,121486.0,94.0,1.0,3.0,-34.869785,-56.214356,3,2020,Uruguay,Capurro,Francisco Gómez,Not found,Montevideo,11700.0
4448,218500.0,200.0,2.0,3.0,-34.896495,-56.166141,3,2020,Uruguay,Tres Cruces,Doctor Mario Cassinoni,Not found,Montevideo,11601.0
4449,65550.0,94.0,2.0,3.0,-34.850808,-56.23425,3,2020,Uruguay,Nuevo Paris,Carlos de la Vega,Not found,Montevideo,11900.0
4450,86526.0,60.0,1.0,2.0,-34.779736,-55.843743,6,2019,Uruguay,Not found,Yaguareté,Not found,Canelones,15100.0
4451,112746.0,200.0,1.0,2.0,-34.813993,-55.9302,6,2019,Uruguay,Lomas de Solymar,Julio Spósito,Not found,Canelones,15800.0
4452,257830.0,80.0,2.0,2.0,-34.926526,-54.961313,6,2019,Uruguay,Las Delicias,6 de Julio de 1784,Not found,Maldonado,20000.0
4453,161690.0,80.0,2.0,2.0,-34.92797,-54.893592,6,2019,Uruguay,Not found,Virgilio,Not found,Maldonado,20000.0
4454,90022.0,75.0,1.0,1.0,-34.894576,-56.15659,6,2019,Uruguay,La Blanqueada,Senda Alfredo Olivera,Not found,Montevideo,11601.0
4455,135470.0,52.0,1.0,1.0,-34.922088,-56.160607,6,2019,Uruguay,Punta Carretas,Francisco Solano García,Not found,Montevideo,11303.0
4456,96402.2,32.0,1.0,1.0,-34.902974,-56.139417,6,2019,Uruguay,La Mondiola,Marco Bruto,Not found,Montevideo,11300.0
4457,62928.0,56.0,1.0,1.0,-34.862623,-56.178875,6,2019,Uruguay,Brazo Oriental,Avenida General San Martín,Not found,Montevideo,11700.0
4458,65550.0,38.0,1.0,1.0,-34.900091,-56.187385,6,2019,Uruguay,Centro,Ejido,Not found,Montevideo,11114.0
4459,87400.0,38.0,1.0,1.0,-34.904956,-56.18125,6,2019,Uruguay,Cordón,Guayabo,Not found,Montevideo,11200.0
4460,110124.0,44.0,1.0,1.0,-34.906039,-56.168711,6,2019,Uruguay,Parque Rodó,Doctor Joaquín Requena,Not found,Montevideo,11601.0
4461,101296.6,48.0,1.0,1.0,-34.905396,-56.181207,6,2019,Uruguay,Cordón,Carlos Roxlo,Not found,Montevideo,11200.0
4462,144210.0,94.0,1.0,1.0,-34.908423,-56.146574,6,2019,Uruguay,La Mondiola,26 de Marzo,Not found,Montevideo,11300.0
4463,129352.0,57.0,1.0,1.0,-34.908352,-56.146359,6,2019,Uruguay,La Mondiola,Manuel Pagola,Not found,Montevideo,11300.0
4464,130226.0,57.0,1.0,1.0,-34.908599,-56.146102,6,2019,Uruguay,Pocitos,Pedro Francisco Berro,Not found,Montevideo,11300.0
4465,74290.0,43.0,1.0,1.0,-34.886943,-56.152314,6,2019,Uruguay,La Blanqueada,República Dominicana,Not found,Montevideo,11820.0
4466,100422.6,44.0,1.0,1.0,-34.882235,-56.15829,6,2019,Uruguay,Larrañaga,Carlos Anaya,Not found,Montevideo,11820.0
4467,170430.0,100.0,1.0,2.0,-34.896878,-56.133657,6,2019,Uruguay,Buceo,Jacinto Vera,Not found,Montevideo,11600.0
4468,76038.0,200.0,1.0,2.0,-34.855783,-56.170413,6,2019,Uruguay,Brazo Oriental,Norberto Ortiz,Not found,Montevideo,12300.0
4469,170430.0,88.0,1.0,2.0,-34.88829,-56.154256,6,2019,Uruguay,La Blanqueada,Jaime Cibils,Not found,Montevideo,11820.0
4470,428260.0,65.0,1.0,2.0,-34.90493,-56.136594,6,2019,Uruguay,La Mondiola,Avenida Luis Alberto de Herrera,Not found,Montevideo,11300.0
4471,139840.0,65.0,1.0,2.0,-34.908669,-56.194596,6,2019,Uruguay,Barrio Sur,Julio Herrera y Obes,Not found,Montevideo,11110.0
