Price,Area,Baths,Beds,Latitude,Longitude,Month,Year,Country,Province
100510.0,120.0,2.0,3.0,-12.1670361,-76.9916406,01,2020,Perú,Lima
26220.0,202.0,1.0,3.0,-5.2641324,-80.6761382,01,2020,Perú,Piura
154563.404,167.0,4.0,3.0,-8.118227,-79.035548,01,2020,Perú,La-Libertad
149444.386,157.0,4.0,3.0,-8.118227,-79.035548,01,2020,Perú,La-Libertad
130920.83,130.0,3.0,3.0,-8.118227,-79.035548,01,2020,Perú,La-Libertad
174800.0,90.0,3.0,4.0,-12.0452944248,-76.9853844721,01,2020,Perú,Lima
697015.0,399.0,3.0,4.0,-12.0711257136,-77.0534448086,01,2020,Perú,Lima
218500.0,150.0,2.0,4.0,-12.0639773,-77.0950575,01,2020,Perú,Lima
183540.0,136.0,2.0,4.0,-15.8550754,-70.0079106,01,2020,Perú,Puno
36673.0,120.0,2.0,4.0,-6.8642542,-79.8190099,01,2020,Perú,Lambayeque
227240.0,116.0,2.0,4.0,-12.1183709,-77.0236208,01,2020,Perú,Lima
375820.0,182.0,4.0,4.0,-12.1216473,-77.0128668,01,2020,Perú,Lima
130226.0,111.0,3.0,4.0,-12.1026154,-76.9482244,01,2020,Perú,Lima
94392.0,128.0,1.0,4.0,-12.0127738467,-77.0072592257,01,2020,Perú,Lima
67298.0,113.0,3.0,4.0,-5.1937956651,-80.618572682,01,2020,Perú,Piura
161663.78,167.0,5.0,4.0,-8.117009431,-79.0361919692,01,2020,Perú,La-Libertad
161663.78,167.0,5.0,4.0,-8.118227,-79.035548,01,2020,Perú,La-Libertad
161663.78,167.0,5.0,4.0,-8.1167119498,-79.0356206587,01,2020,Perú,La-Libertad
205390.0,144.0,3.0,5.0,-16.381007,-71.5516981,01,2020,Perú,Arequipa
91770.0,145.0,5.0,5.0,-8.1333644,-79.0430433,01,2020,Perú,La-Libertad
144210.0,164.0,5.0,5.0,-8.1105814,-79.0267213,01,2020,Perú,La-Libertad
367080.0,199.0,4.0,6.0,-12.1370897,-77.0184759,01,2020,Perú,Lima
235980.0,240.0,6.0,6.0,-16.4224961,-71.5108186,01,2020,Perú,Arequipa
218500.0,160.0,4.0,7.0,-11.9845583,-77.0678504,01,2020,Perú,Lima
1267300.0,1950.0,8.0,8.0,-12.2716895,-76.8294425,01,2020,Perú,Lima
78660.0,72.0,5.0,10.0,-12.183333,-76.933333,01,2020,Perú,Lima
13110.0,1000.0,3.0,2.0,-12.0716585,-76.9570744,01,2020,Perú,Lima
48070.0,37.0,1.0,0.0,-12.0663486,-77.0441786,02,2020,Perú,Lima
131100.0,59.0,1.0,1.0,-12.1503241,-77.0220613,02,2020,Perú,Lima
113620.0,46.0,1.0,1.0,-12.1503241,-77.0220613,02,2020,Perú,Lima
221471.6,88.0,2.0,1.0,-12.1257381205,-77.030880701,02,2020,Perú,Lima
235543.0,95.0,2.0,1.0,-12.1262835721,-77.0313098545,02,2020,Perú,Lima
232134.4,95.0,2.0,1.0,-12.1256542047,-77.0313098545,02,2020,Perú,Lima
14767.104,676.0,2.0,1.0,-16.41617,-71.5155458,02,2020,Perú,Arequipa
103132.0,70.0,2.0,1.0,-12.0987472612,-77.0300220654,02,2020,Perú,Lima
65550.0,63.0,1.0,2.0,-12.0613336,-77.0144232,02,2020,Perú,Lima
34960.0,55.0,2.0,2.0,-12.063501,-77.0210721,02,2020,Perú,Lima
218500.0,120.0,2.0,2.0,-12.0981309,-77.0683305,02,2020,Perú,Lima
65550.0,63.0,1.0,2.0,-12.1469512,-76.9897641,02,2020,Perú,Lima
187910.0,128.0,2.0,2.0,-12.1109635,-76.9708104,02,2020,Perú,Lima
85652.0,82.0,2.0,2.0,-12.1667875,-76.9948579,02,2020,Perú,Lima
60306.0,92.0,2.0,3.0,-6.7837818482,-79.8543630631,02,2020,Perú,Lambayeque
108376.0,95.0,2.0,3.0,-12.0596805,-76.9404891,02,2020,Perú,Lima
218500.0,159.0,2.0,3.0,-12.0880537625,-77.0451145963,02,2020,Perú,Lima
109250.0,96.0,2.0,3.0,-12.1414944,-77.0171071,02,2020,Perú,Lima
113620.0,96.0,2.0,3.0,-12.1438418,-77.0143667,02,2020,Perú,Lima
60306.0,62.0,2.0,3.0,-12.1763035,-76.9966485,02,2020,Perú,Lima
58558.0,62.0,2.0,3.0,-12.1737324,-76.9999427,02,2020,Perú,Lima
126730.0,160.0,3.0,3.0,-12.2053917,-77.0143723,02,2020,Perú,Lima
326349.555,256.0,4.0,3.0,-12.1321343647,-77.021665846,02,2020,Perú,Lima
117990.0,76.0,2.0,3.0,-12.0872913,-77.0225352,02,2020,Perú,Lima
41078.0,63.0,1.0,3.0,-11.9181097301,-77.0794796614,02,2020,Perú,Lima
122360.0,99.0,1.0,3.0,-12.09462,-77.0761321,02,2020,Perú,Lima
393300.0,302.0,3.0,3.0,-12.1186557,-76.9930293,02,2020,Perú,Lima
152950.0,96.0,2.0,3.0,-12.142674,-77.001245,02,2020,Perú,Lima
698326.0,383.0,6.0,4.0,-12.0991018,-77.0242155,02,2020,Perú,Lima
135470.0,107.0,1.0,4.0,-12.1003705,-77.0151669,02,2020,Perú,Lima
122360.0,87.0,2.0,4.0,-12.0920265339,-77.0779301816,02,2020,Perú,Lima
96140.0,114.0,3.0,4.0,-16.3691836857,-71.5555124021,02,2020,Perú,Arequipa
174800.0,120.0,3.0,4.0,-12.1431113,-76.9866939,02,2020,Perú,Lima
131100.0,183.0,3.0,4.0,-12.0322630363,-77.0533202741,02,2020,Perú,Lima
117990.0,190.0,2.0,4.0,-12.0202783817,-77.0123722312,02,2020,Perú,Lima
183540.0,160.0,4.0,5.0,-6.7621598,-79.856906,02,2020,Perú,Lambayeque
172702.4,160.0,2.0,5.0,-11.9979827,-77.0742668,02,2020,Perú,Lima
113620.0,50.0,4.0,5.0,-12.0066593,-77.0647131,02,2020,Perú,Lima
85652.0,157.0,4.0,5.0,-12.0889258,-77.077874,02,2020,Perú,Lima
323380.0,160.0,5.0,5.0,-12.1416088,-76.9918155,02,2020,Perú,Lima
109250.0,108.0,5.0,5.0,-12.2183852,-76.9288709,02,2020,Perú,Lima
174800.0,140.0,3.0,7.0,-11.9724573,-77.081619,02,2020,Perú,Lima
139840.0,200.0,4.0,10.0,-16.4218594,-71.5081848,02,2020,Perú,Arequipa
66454.59,44.0,1.0,0.0,-16.4175176136,-71.5447691407,03,2020,Perú,Arequipa
41952.0,70.0,1.0,0.0,-12.0796862,-77.0593231,03,2020,Perú,Lima
1223600.0,4000.0,1.0,1.0,-13.3057641,-72.1156281,03,2020,Perú,Cusco
26220.0,47.0,1.0,2.0,-11.9995592674,-77.0853415497,03,2020,Perú,Lima
36708.0,50.0,1.0,2.0,-16.3942194,-71.5108186,03,2020,Perú,Arequipa
119738.0,168.0,1.0,3.0,-11.961181132,-76.9841784349,03,2020,Perú,Lima
116242.0,90.0,1.0,3.0,-12.110431,-77.001639,03,2020,Perú,Lima
161690.0,98.0,1.0,3.0,-12.1018535765,-76.9713399841,03,2020,Perú,Lima
83030.0,103.0,1.0,4.0,-12.0773409759,-77.0202990032,03,2020,Perú,Lima
