Price,Area,Baths,Beds,Latitude,Longitude,Month,Year,Country,Province,City,Rooms,TotalArea,PropertyType,OperationType
52440.0,120.0,1.0,2.0,-5.1955820238,-80.6415899257,3,2020,Perú,Piura,Piura,0.0,120.0,Casa,Venta
144210.0,86.0,2.0,2.0,-12.098484,-77.0259768,3,2020,Perú,Lima,Lima,0.0,86.0,Departamento,Venta
100510.0,160.0,2.0,2.0,-16.4192775745,-71.509783873,3,2020,Perú,Arequipa,Arequipa,0.0,160.0,Departamento,Venta
275310.0,166.0,4.0,3.0,-12.0598871982,-76.9412377532,3,2020,Perú,Lima,Lima,0.0,227.0,Casa,Venta
146832.0,200.0,2.0,3.0,-9.5328357,-77.5210942,3,2020,Perú,Ancash,Huaraz,0.0,200.0,Casa,Venta
432630.0,162.0,3.0,3.0,-12.1061035835,-77.0464302196,3,2020,Perú,Lima,Lima,0.0,162.0,Departamento,Venta
100510.0,78.0,2.0,3.0,-12.0681017,-77.1027401,3,2020,Perú,Lima,Lima,0.0,78.0,Departamento,Venta
258031.02,137.0,3.0,3.0,-12.0942357,-77.0499251,3,2020,Perú,Lima,Lima,0.0,137.0,Departamento,Venta
120612.0,48.0,3.0,4.0,-12.0954781,-77.0682492944,3,2020,Perú,Lima,Lima,0.0,120.0,Casa,Venta
225492.0,300.0,5.0,4.0,-16.7432103,-72.28375,3,2020,Perú,Arequipa,Camaná,0.0,300.0,Lote,Venta
131100.0,93.0,3.0,4.0,-12.1156631,-76.9359812,3,2020,Perú,Lima,Lima,0.0,93.0,Departamento,Venta
253460.0,293.0,3.0,5.0,-12.0357424,-77.0391552,3,2020,Perú,Lima,Lima,0.0,293.0,Casa,Venta
91770.0,124.0,3.0,5.0,-13.4157804,-76.1575132,3,2020,Perú,Ica,Chincha,0.0,126.0,Casa,Venta
506046.0,300.0,6.0,7.0,-12.1344299,-77.0148381836,3,2020,Perú,Lima,Lima,0.0,440.0,Casa,Venta
336490.0,160.0,7.0,9.0,-12.1583301,-76.9747327,3,2020,Perú,Lima,Lima,0.0,448.0,Casa,Venta
148580.0,240.0,1.0,3.0,-12.1990036,-77.0056713,2,2020,Perú,Lima,Lima,0.0,240.0,Casa,Venta
122272.6,150.0,3.0,6.0,-11.970824,-76.9857334,2,2020,Perú,Lima,Lima,0.0,200.0,Casa,Venta
144122.6,50.0,4.0,6.0,-11.9035036,-77.0525211,2,2020,Perú,Lima,Lima,0.0,150.0,Casa,Venta
103132.0,140.0,3.0,3.0,-11.8765296038,-77.0753380904,2,2020,Perú,Lima,Lima,0.0,140.0,Casa,Venta
15732.0,160.0,1.0,1.0,-11.8130752,-77.1377306,2,2020,Perú,Lima,Lima,0.0,160.0,Casa,Venta
209760.0,160.0,6.0,6.0,-11.9829741473,-77.0896101344,2,2020,Perú,Lima,Lima,0.0,290.0,Casa,Venta
174800.0,92.0,3.0,3.0,-12.0920398,-77.0648302,2,2020,Perú,Lima,Lima,0.0,92.0,Departamento,Venta
415150.0,257.0,4.0,4.0,-12.3386852,-76.8206293,2,2020,Perú,Lima,Lima,0.0,257.0,Departamento,Venta
131100.0,120.0,2.0,2.0,-12.0986337078,-76.9989269368,2,2020,Perú,Lima,Lima,0.0,120.0,Departamento,Venta
82420.822,86.0,3.0,3.0,-12.0265341,-77.059117,2,2020,Perú,Lima,Lima,0.0,86.0,Departamento,Venta
467590.0,223.0,4.0,3.0,-12.0952789,-77.0423689,2,2020,Perú,Lima,Lima,0.0,223.0,Departamento,Venta
201020.0,132.0,3.0,3.0,-12.0795848,-76.9745073,2,2020,Perú,Lima,Lima,0.0,132.0,Departamento,Venta
288420.0,374.0,3.0,3.0,-12.162399,-76.9775312,2,2020,Perú,Lima,Lima,0.0,374.0,Departamento,Venta
100510.0,84.0,2.0,2.0,-12.0986761863,-76.9988679585,2,2020,Perú,Lima,Lima,0.0,84.0,Departamento,Venta
139840.0,132.0,3.0,3.0,-12.0939864115,-77.0770684523,2,2020,Perú,Lima,Lima,0.0,132.0,Departamento,Venta
73482.424,72.0,2.0,3.0,-12.0265341,-77.059117,2,2020,Perú,Lima,Lima,0.0,72.0,Departamento,Venta
56847.582,72.0,2.0,3.0,-12.0265341,-77.059117,2,2020,Perú,Lima,Lima,0.0,72.0,Departamento,Venta
98762.0,92.0,2.0,3.0,-12.0912599,-77.0812881,2,2020,Perú,Lima,Lima,0.0,92.0,Departamento,Venta
110298.8,75.0,2.0,2.0,-12.0969876,-77.0157361,2,2020,Perú,Lima,Lima,0.0,75.0,Departamento,Venta
72226.486,72.0,2.0,3.0,-12.0265341,-77.059117,2,2020,Perú,Lima,Lima,0.0,72.0,Departamento,Venta
130226.0,112.0,2.0,4.0,-13.5253841,-71.9453208,2,2020,Perú,Cusco,Cusco,0.0,112.0,Departamento,Venta
83467.0,97.0,3.0,3.0,-16.4293443,-71.5356732,2,2020,Perú,Arequipa,Arequipa,0.0,97.0,Departamento,Venta
111872.0,107.0,2.0,3.0,-16.3941792397,-71.5502626373,2,2020,Perú,Arequipa,Arequipa,0.0,107.0,Departamento,Venta
56810.0,89.0,2.0,0.0,-6.8044229,-79.8942766,2,2020,Perú,Lambayeque,Chiclayo,0.0,89.0,Departamento,Venta
78660.0,106.0,2.0,3.0,-8.1347100705,-79.047353715,2,2020,Perú,La-Libertad,Trujillo,0.0,106.0,Departamento,Venta
752514.0,141.0,2.0,0.0,-18.0124312363,-70.2475048193,2,2020,Perú,Tacna,Tacna,0.0,141.0,Local-comercial,Venta
19228.0,100.0,2.0,0.0,-12.0688317,-76.9592087,1,2020,Perú,Lima,Lima,0.0,100.0,Local-comercial,Venta
43700.0,98.0,2.0,1.0,-11.8872797139,-77.0390632804,1,2020,Perú,Lima,Lima,0.0,98.0,Departamento,Venta
26220.0,102.0,1.0,1.0,-5.2641324,-80.6761382,1,2020,Perú,Piura,Piura,0.0,102.0,Departamento,Venta
34960.0,57.0,1.0,2.0,-12.0898508118,-77.0721080955,1,2020,Perú,Lima,Lima,0.0,57.0,Casa,Venta
