start: 
Current Time = 04:18:45
------------------------------------------------------------------
Dataset: all_perth_iqrmultiple.csv
Normalization used is StandardScaler, using kfold=5
Dataset total size after normalization: (24471, 9)
Device used : cuda
epoch 26 | loss: 226564031062.44495| val_0_rmse: 474471.64197| val_0_mse: 225123339035.17944| val_0_mae: 447457.25815| val_1_rmse: 474854.70054| val_1_mse: 225486986620.87595| val_1_mae: 448233.41426|  0:00:43s
epoch 27 | loss: 226381656037.84415| val_0_rmse: 475612.69237| val_0_mse: 226207433147.56677| val_0_mae: 448705.742| val_1_rmse: 475949.21262| val_1_mse: 226527652996.47516| val_1_mae: 449430.87771|  0:00:45s
epoch 28 | loss: 226193662916.6263| val_0_rmse: 474780.88784| val_0_mse: 225416891456.03583| val_0_mae: 447953.53157| val_1_rmse: 475132.44512| val_1_mse: 225750840407.7272| val_1_mae: 448692.87109|  0:00:46s
epoch 29 | loss: 225989675370.51953| val_0_rmse: 475021.28517| val_0_mse: 225645221363.6714| val_0_mae: 448175.24877| val_1_rmse: 475366.3323| val_1_mse: 225973149888.22275| val_1_mae: 448908.3163|  0:00:48s
epoch 30 | loss: 225797245449.54688| val_0_rmse: 474980.54381| val_0_mse: 225606516996.80905| val_0_mae: 448077.69316| val_1_rmse: 475339.4856| val_1_mse: 225947626572.69183| val_1_mae: 448822.56844|  0:00:49s
epoch 31 | loss: 225587712595.30624| val_0_rmse: 474593.47086| val_0_mse: 225238962578.57675| val_0_mae: 447791.94643| val_1_rmse: 474930.97274| val_1_mse: 225559428868.77496| val_1_mae: 448520.94026|  0:00:51s
epoch 32 | loss: 225380563464.50064| val_0_rmse: 473872.82885| val_0_mse: 224555457922.57996| val_0_mae: 447094.23041| val_1_rmse: 474233.88526| val_1_mse: 224897777929.4558| val_1_mae: 447839.98155|  0:00:52s
epoch 33 | loss: 225171432062.2018| val_0_rmse: 475620.00734| val_0_mse: 226214391377.59195| val_0_mae: 448701.4888| val_1_rmse: 475997.49683| val_1_mse: 226573616983.87354| val_1_mae: 449461.72292|  0:00:54s
epoch 34 | loss: 224964840477.03296| val_0_rmse: 473687.81232| val_0_mse: 224380143536.42117| val_0_mae: 446982.78336| val_1_rmse: 474003.13395| val_1_mse: 224678970992.611| val_1_mae: 447688.03384|  0:00:55s
epoch 35 | loss: 224761502904.92157| val_0_rmse: 473494.89151| val_0_mse: 224197412285.99075| val_0_mae: 446683.53818| val_1_rmse: 473805.62161| val_1_mse: 224491767072.96573| val_1_mae: 447376.23707|  0:00:57s
epoch 36 | loss: 224572252844.23605| val_0_rmse: 473731.71435| val_0_mse: 224421737180.8679| val_0_mae: 447007.79966| val_1_rmse: 474067.6563| val_1_mse: 224740142747.6836| val_1_mae: 447728.50824|  0:00:58s
epoch 37 | loss: 224370917970.26004| val_0_rmse: 472840.33538| val_0_mse: 223577982761.05225| val_0_mae: 446114.95178| val_1_rmse: 473174.97068| val_1_mse: 223894552879.5579| val_1_mae: 446840.64411|  0:01:00s
epoch 38 | loss: 224128904444.92667| val_0_rmse: 473461.6086| val_0_mse: 224165894817.30313| val_0_mae: 446735.39937| val_1_rmse: 473788.62217| val_1_mse: 224475658496.25397| val_1_mae: 447445.5058|  0:01:02s
epoch 39 | loss: 223923446661.85236| val_0_rmse: 472016.57498| val_0_mse: 222799647059.73| val_0_mae: 445361.81138| val_1_rmse: 472348.30872| val_1_mse: 223112924752.56857| val_1_mae: 446080.05595|  0:01:04s
epoch 40 | loss: 223674346640.11853| val_0_rmse: 471758.63338| val_0_mse: 222556208172.33286| val_0_mae: 445181.47096| val_1_rmse: 472083.95839| val_1_mse: 222863263769.68735| val_1_mae: 445895.69582|  0:01:06s
epoch 41 | loss: 223416959967.8283| val_0_rmse: 472349.97417| val_0_mse: 223114498096.72025| val_0_mae: 445679.38662| val_1_rmse: 472666.27355| val_1_mse: 223413406154.5696| val_1_mae: 446383.49375|  0:01:08s
epoch 42 | loss: 223176229089.9862| val_0_rmse: 472920.5637| val_0_mse: 223653859570.11765| val_0_mae: 446222.80553| val_1_rmse: 473266.55995| val_1_mse: 223981236765.71292| val_1_mae: 446955.70367|  0:01:09s
epoch 43 | loss: 222946299871.5668| val_0_rmse: 470461.66908| val_0_mse: 221334182070.47473| val_0_mae: 443851.00523| val_1_rmse: 470809.53656| val_1_mse: 221661619720.48904| val_1_mae: 444596.25927|  0:01:11s
epoch 44 | loss: 222676140889.9106| val_0_rmse: 470581.55673| val_0_mse: 221447001533.55133| val_0_mae: 444124.37111| val_1_rmse: 470867.38358| val_1_mse: 221716092920.9867| val_1_mae: 444791.07839|  0:01:13s
epoch 45 | loss: 222362931719.9775| val_0_rmse: 471708.86033| val_0_mse: 222509248917.18945| val_0_mae: 445286.06387| val_1_rmse: 472022.25818| val_1_mse: 222805012218.5186| val_1_mae: 445976.21688|  0:01:14s
epoch 46 | loss: 222068305994.28253| val_0_rmse: 471865.84106| val_0_mse: 222657371963.116| val_0_mae: 445282.28592| val_1_rmse: 472179.79326| val_1_mse: 222953757158.37067| val_1_mae: 445983.47136|  0:01:16s
epoch 47 | loss: 221815829169.46716| val_0_rmse: 470691.45246| val_0_mse: 221550443422.7611| val_0_mae: 444165.10874| val_1_rmse: 470974.10644| val_1_mse: 221816608940.17032| val_1_mae: 444830.96309|  0:01:17s
epoch 48 | loss: 221560059909.75427| val_0_rmse: 472344.52552| val_0_mse: 223109350788.24673| val_0_mae: 445652.31538| val_1_rmse: 472695.97184| val_1_mse: 223441481798.14105| val_1_mae: 446385.59236|  0:01:19s
epoch 49 | loss: 221280155498.91187| val_0_rmse: 467343.12943| val_0_mse: 218409600625.7483| val_0_mae: 440944.01065| val_1_rmse: 467685.01784| val_1_mse: 218729275914.35565| val_1_mae: 441688.88774|  0:01:20s
epoch 50 | loss: 220992898187.4105| val_0_rmse: 470853.9948| val_0_mse: 221703484422.10904| val_0_mae: 444359.75146| val_1_rmse: 471167.52697| val_1_mse: 221998838467.76743| val_1_mae: 445047.17359|  0:01:22s
epoch 51 | loss: 220695065231.98773| val_0_rmse: 469472.78229| val_0_mse: 220404693314.3583| val_0_mae: 443144.06882| val_1_rmse: 469803.76052| val_1_mse: 220715573394.38263| val_1_mae: 443855.19351|  0:01:23s
