start: 
Current Time = 04:38:46
------------------------------------------------------------------
Dataset: perth.csv
Normalization used is StandardScaler, using kfold=5
Dataset total size after normalization: (26510, 9)
Device used : cuda
epoch 26 | loss: 143353293209.69656| val_0_rmse: 378238.39826| val_0_mse: 143064285914.97937| val_0_mae: 349129.23685| val_1_rmse: 376427.70822| val_1_mse: 141697819513.51395| val_1_mae: 347101.54781|  0:01:09s
epoch 27 | loss: 143188764324.59082| val_0_rmse: 377737.51754| val_0_mse: 142685632155.11313| val_0_mae: 348650.4692| val_1_rmse: 375925.57087| val_1_mse: 141320034831.223| val_1_mae: 346618.65919|  0:01:11s
epoch 28 | loss: 143011283575.5652| val_0_rmse: 377581.06787| val_0_mse: 142567462811.83963| val_0_mae: 348535.44719| val_1_rmse: 375786.99238| val_1_mse: 141215863640.82538| val_1_mae: 346517.81859|  0:01:14s
epoch 29 | loss: 142834720423.2465| val_0_rmse: 377918.13923| val_0_mse: 142822119960.2066| val_0_mae: 348873.15858| val_1_rmse: 376093.92416| val_1_mse: 141446639792.8143| val_1_mae: 346834.6871|  0:01:17s
epoch 30 | loss: 142662751708.20886| val_0_rmse: 377142.46978| val_0_mse: 142236442515.1418| val_0_mae: 348145.52478| val_1_rmse: 375326.79749| val_1_mse: 140870204914.17804| val_1_mae: 346114.02298|  0:01:20s
epoch 31 | loss: 142492167764.67947| val_0_rmse: 376945.28604| val_0_mse: 142087748670.04123| val_0_mae: 347944.62033| val_1_rmse: 375135.79091| val_1_mse: 140726861623.32266| val_1_mae: 345921.65785|  0:01:23s
epoch 32 | loss: 142318759736.58377| val_0_rmse: 376713.65333| val_0_mse: 141913176604.16373| val_0_mae: 347773.63935| val_1_rmse: 374913.56763| val_1_mse: 140560183192.2535| val_1_mae: 345749.4776|  0:01:26s
epoch 33 | loss: 142148162820.85864| val_0_rmse: 376390.44368| val_0_mse: 141669766095.54315| val_0_mae: 347384.87389| val_1_rmse: 374584.65952| val_1_mse: 140313667149.06683| val_1_mae: 345353.66028|  0:01:28s
epoch 34 | loss: 141965931118.39114| val_0_rmse: 377280.25502| val_0_mse: 142340390826.8851| val_0_mae: 348289.44769| val_1_rmse: 375449.42059| val_1_mse: 140962267418.5269| val_1_mae: 346244.43139|  0:01:31s
epoch 35 | loss: 141746695509.73572| val_0_rmse: 376587.35099| val_0_mse: 141818032929.2205| val_0_mae: 347672.96837| val_1_rmse: 374793.85469| val_1_mse: 140470433512.72046| val_1_mae: 345651.95949|  0:01:33s
epoch 36 | loss: 141553301309.65366| val_0_rmse: 375792.64623| val_0_mse: 141220112956.9162| val_0_mae: 346857.65993| val_1_rmse: 373961.00778| val_1_mse: 139846835343.40552| val_1_mae: 344818.13072|  0:01:36s
