start: 
Current Time = 03:18:07
------------------------------------------------------------------
Dataset: all_perth_iqrmultiple.csv
Normalization used is StandardScaler, train/test division is 60/20/20
Dataset total size after normalization: (24471, 9)
TABNET LOGS:

Starting training: 
Current Time = 03:18:07
Device used : cuda
epoch 26 | loss: 227295464272.9394| val_0_rmse: 476604.92748| val_0_mse: 227152256901.5526| val_0_mae: 449808.24275| val_1_rmse: 473439.79253| val_1_mse: 224145237151.8267| val_1_mae: 447105.11986|  0:00:34s
epoch 27 | loss: 227114564810.67975| val_0_rmse: 476023.39667| val_0_mse: 226598274177.02573| val_0_mae: 449268.00503| val_1_rmse: 472847.28523| val_1_mse: 223584555153.04767| val_1_mae: 446553.83648|  0:00:36s
epoch 28 | loss: 226942443581.37585| val_0_rmse: 477122.82609| val_0_mse: 227646191180.08752| val_0_mae: 450304.38765| val_1_rmse: 473971.53192| val_1_mse: 224649013070.13715| val_1_mae: 447612.84521|  0:00:37s
epoch 29 | loss: 226759674350.07547| val_0_rmse: 475602.5359| val_0_mse: 226197772149.96503| val_0_mae: 448834.26728| val_1_rmse: 472437.63607| val_1_mse: 223197319972.4687| val_1_mae: 446136.20908|  0:00:38s
epoch 30 | loss: 226566187971.87955| val_0_rmse: 475558.7526| val_0_mse: 226156127171.262| val_0_mae: 448794.69734| val_1_rmse: 472387.37459| val_1_mse: 223149831670.6578| val_1_mae: 446091.19608|  0:00:39s
epoch 31 | loss: 226390044067.72705| val_0_rmse: 476105.14561| val_0_mse: 226676109674.74185| val_0_mae: 449384.82072| val_1_rmse: 472961.85214| val_1_mse: 223692913576.7832| val_1_mae: 446706.07464|  0:00:41s
epoch 32 | loss: 226206857065.6292| val_0_rmse: 475910.41827| val_0_mse: 226490726215.81335| val_0_mae: 449123.23125| val_1_rmse: 472748.71061| val_1_mse: 223491343386.1701| val_1_mae: 446424.33464|  0:00:42s
epoch 33 | loss: 226006276718.96472| val_0_rmse: 474905.37834| val_0_mse: 225535118371.75235| val_0_mae: 448253.39407| val_1_rmse: 471754.67514| val_1_mse: 222552473520.66125| val_1_mae: 445564.71484|  0:00:43s
epoch 34 | loss: 225802555436.079| val_0_rmse: 475217.00533| val_0_mse: 225831202154.5162| val_0_mae: 448531.89579| val_1_rmse: 472061.64342| val_1_mse: 222842195191.10468| val_1_mae: 445831.79086|  0:00:44s
epoch 35 | loss: 225594450833.94196| val_0_rmse: 474189.17447| val_0_mse: 224855373182.50815| val_0_mae: 447567.35263| val_1_rmse: 471021.49484| val_1_mse: 221861248597.51257| val_1_mae: 444858.87399|  0:00:46s
epoch 36 | loss: 225357224904.90125| val_0_rmse: 474441.3996| val_0_mse: 225094641652.20032| val_0_mae: 447816.97569| val_1_rmse: 471292.47881| val_1_mse: 222116600585.81293| val_1_mae: 445135.04739|  0:00:48s
epoch 37 | loss: 225130881167.95425| val_0_rmse: 474774.27357| val_0_mse: 225410610842.28415| val_0_mae: 448104.1204| val_1_rmse: 471605.45209| val_1_mse: 222411702440.0654| val_1_mae: 445399.25136|  0:00:49s
epoch 38 | loss: 224923299878.4994| val_0_rmse: 474287.82303| val_0_mse: 224948939075.0841| val_0_mae: 447652.70968| val_1_rmse: 471122.79748| val_1_mse: 221956690307.7946| val_1_mae: 444949.55443|  0:00:50s
epoch 39 | loss: 224714506735.47037| val_0_rmse: 474167.85684| val_0_mse: 224835156456.8386| val_0_mae: 447606.47861| val_1_rmse: 471004.7299| val_1_mse: 221845455586.1896| val_1_mae: 444900.4302|  0:00:52s
epoch 40 | loss: 224490605725.4848| val_0_rmse: 473500.31345| val_0_mse: 224202546840.24097| val_0_mae: 446961.93006| val_1_rmse: 470338.58369| val_1_mse: 221218383310.36264| val_1_mae: 444261.98385|  0:00:53s
epoch 41 | loss: 224245823757.2167| val_0_rmse: 473910.53537| val_0_mse: 224591195535.131| val_0_mae: 447311.5055| val_1_rmse: 470734.0118| val_1_mse: 221590509865.50955| val_1_mae: 444595.47888|  0:00:55s
epoch 42 | loss: 224022593165.51315| val_0_rmse: 473646.52872| val_0_mse: 224341034170.39612| val_0_mae: 447085.09049| val_1_rmse: 470455.37772| val_1_mse: 221328262430.27655| val_1_mae: 444353.57857|  0:00:56s
