Price,Area,Baths,Beds,Latitude,Longitude,Month,Year
78319.14,10.0,1.0,,-34.887339,-56.165628,10,2019
66948.4,32.0,,,-34.897336,-56.165714,10,2019
84620.68,38.0,1.0,,-34.888546,-56.165625,10,2019
117990.0,10.0,,,-34.870933,-56.168804,10,2019
74290.0,65.0,1.0,,-34.872711,-56.115748,10,2019
88798.4,32.0,1.0,,-34.901585,-56.135068,10,2019
105841.4,38.0,1.0,,-34.901678,-56.135109,10,2019
57684.0,26.0,1.0,,-34.918499,-56.164352,10,2019
173052.0,20.0,,,-34.8809022095,-56.1877516396,10,2019
500.0,60.0,,,-34.836258,-55.984191,10,2019
320.0,55.0,1.0,,-34.8080906089,-56.2285065847,10,2019
480.0,80.0,1.0,,-34.72911,-56.220946,10,2019
240.0,48.0,1.0,,-34.8943,-56.147229,10,2019
500.0,50.0,1.0,,-34.863204,-56.211548,10,2019
340.0,42.0,1.0,,-34.907258,-56.194624,10,2019
62.0,9.0,,,-34.905255,-56.197729,10,2019
280.0,40.0,1.0,,-34.906328,-56.205583,10,2019
180.0,25.0,1.0,,-34.9076793,-56.2060704,10,2019
230.0,40.0,1.0,,-34.804642,-55.903931,10,2019
300.0,25.0,,,-34.88322,-56.182795,10,2019
270.0,24.0,1.0,,-34.900152,-56.132433,10,2019
198.0,9.0,1.0,,-34.903247,-56.193907,10,2019
250.0,25.0,1.0,,-34.903548,-56.177827,10,2019
440.0,60.0,1.0,,-34.9069965882,-56.1763304307,10,2019
198.0,10.0,1.0,,-34.88006,-56.135713,10,2019
198.0,10.0,1.0,,-34.880103,-56.135735,10,2019
260.0,25.0,1.0,,-34.9114222342,-56.1463338251,10,2019
530.0,60.0,1.0,,-34.9032138587,-56.1539554596,10,2019
360.0,67.0,1.0,,-34.908541,-56.147338,10,2019
400.0,45.0,,,-34.892795,-56.16889,10,2019
300.0,36.0,1.0,,-34.895836,-56.166079,10,2019
280.0,30.0,1.0,,-34.892549,-56.165285,10,2019
270.0,44.0,1.0,,-34.8870222305,-56.1777305603,10,2019
260.0,35.0,1.0,,-34.8832070536,-56.1604088545,10,2019
340.0,40.0,1.0,,-34.903405,-56.138892,10,2019
440.0,40.0,1.0,,-34.90522,-56.146703,10,2019
320.0,28.0,1.0,,-34.922904,-56.160853,10,2019
940.0,20.0,,,-34.8809149226,-56.1877376572,10,2019
220073.2,48.0,1.0,1.0,-34.90969,-56.134021,10,2019
62928.0,38.0,1.0,1.0,-34.896182,-56.134386,10,2019
59432.0,50.0,1.0,1.0,-34.892294,-56.133152,10,2019
117990.0,55.0,1.0,1.0,-34.894626,-56.136331,10,2019
120612.0,47.0,1.0,1.0,-34.90793,-56.195197,10,2019
101384.0,55.0,1.0,1.0,-34.899342,-56.194983,10,2019
157320.0,100.0,1.0,1.0,-34.910061,-56.198237,10,2019
109774.4,48.0,1.0,1.0,-34.902859,-56.190449,10,2019
90022.0,42.0,1.0,1.0,-34.905031,-56.175456,10,2019
109250.0,45.0,1.0,1.0,-34.908423,-56.173224,10,2019
105754.0,10.0,1.0,1.0,-34.904358,-56.177591,10,2019
94392.0,37.0,1.0,1.0,-34.905414,-56.179651,10,2019
118339.6,62.0,1.0,1.0,-34.900072,-56.170188,10,2019
113620.0,30.0,1.0,1.0,-34.896702,-56.113486,10,2019
124982.0,48.0,1.0,1.0,-34.888043,-56.093428,10,2019
218500.0,10.0,,1.0,-34.895294,-56.105804,10,2019
110998.0,53.0,1.0,1.0,-34.88689,-56.107178,10,2019
59432.0,70.0,1.0,1.0,-34.849734,-56.168439,10,2019
144210.0,45.0,1.0,1.0,-34.911696,-56.186442,10,2019
125856.0,70.0,1.0,1.0,-34.902503,-56.16168,10,2019
156883.0,52.0,1.0,1.0,-34.905924,-56.139064,10,2019
101384.0,61.0,1.0,1.0,-34.904481,-56.141596,10,2019
125856.0,10.0,1.0,1.0,-34.903263,-56.141321,10,2019
122360.0,53.0,1.0,1.0,-34.902651,-56.162581,10,2019
115805.0,50.0,1.0,1.0,-34.902841,-56.140188,10,2019
135470.0,44.0,1.0,1.0,-34.915215,-56.149766,10,2019
109250.0,10.0,1.0,1.0,-34.907965,-56.156573,10,2019
